"","Outermost","Nested","Nestings","Innermost","Size"
"1",1,1,1,1,144
"2",1,1,1,2,144
"3",1,1,1,3,152
"4",1,1,1,4,152
"5",1,1,1,5,168
"6",1,1,1,6,168
"7",1,1,1,7,168
"8",1,1,1,8,168
"9",1,1,1,9,184
"10",1,1,1,10,184
"11",1,1,1,11,184
"12",1,1,1,12,184
"13",1,1,1,13,200
"14",1,1,1,14,200
"15",1,1,1,15,200
"16",1,1,1,16,200
"17",1,1,1,17,264
"18",1,1,1,18,264
"19",1,1,1,19,264
"20",1,1,1,20,264
"21",1,1,1,21,264
"22",1,1,1,22,264
"23",1,1,1,23,264
"24",1,1,1,24,264
"25",1,1,1,25,264
"26",1,1,1,26,264
"27",1,1,1,27,264
"28",1,1,1,28,264
"29",1,1,1,29,264
"30",1,1,1,30,264
"31",1,1,1,31,264
"32",1,1,1,32,264
"33",1,1,1,33,272
"34",1,1,1,34,272
"35",1,1,1,35,280
"36",1,1,1,36,280
"37",1,1,1,37,288
"38",1,1,1,38,288
"39",1,1,1,39,296
"40",1,1,1,40,296
"41",1,1,1,41,304
"42",1,1,1,42,304
"43",1,1,1,43,312
"44",1,1,1,44,312
"45",1,1,1,45,320
"46",1,1,1,46,320
"47",1,1,1,47,328
"48",1,1,1,48,328
"49",1,1,1,49,336
"50",1,1,1,50,336
"51",1,1,2,1,192
"52",1,1,2,2,192
"53",1,1,2,3,200
"54",1,1,2,4,200
"55",1,1,2,5,216
"56",1,1,2,6,216
"57",1,1,2,7,216
"58",1,1,2,8,216
"59",1,1,2,9,232
"60",1,1,2,10,232
"61",1,1,2,11,232
"62",1,1,2,12,232
"63",1,1,2,13,248
"64",1,1,2,14,248
"65",1,1,2,15,248
"66",1,1,2,16,248
"67",1,1,2,17,312
"68",1,1,2,18,312
"69",1,1,2,19,312
"70",1,1,2,20,312
"71",1,1,2,21,312
"72",1,1,2,22,312
"73",1,1,2,23,312
"74",1,1,2,24,312
"75",1,1,2,25,312
"76",1,1,2,26,312
"77",1,1,2,27,312
"78",1,1,2,28,312
"79",1,1,2,29,312
"80",1,1,2,30,312
"81",1,1,2,31,312
"82",1,1,2,32,312
"83",1,1,2,33,320
"84",1,1,2,34,320
"85",1,1,2,35,328
"86",1,1,2,36,328
"87",1,1,2,37,336
"88",1,1,2,38,336
"89",1,1,2,39,344
"90",1,1,2,40,344
"91",1,1,2,41,352
"92",1,1,2,42,352
"93",1,1,2,43,360
"94",1,1,2,44,360
"95",1,1,2,45,368
"96",1,1,2,46,368
"97",1,1,2,47,376
"98",1,1,2,48,376
"99",1,1,2,49,384
"100",1,1,2,50,384
"101",1,1,3,1,240
"102",1,1,3,2,240
"103",1,1,3,3,248
"104",1,1,3,4,248
"105",1,1,3,5,264
